state,name,lat,lon
AC,Acre,-8.77,-70.55
AL,Alagoas,-9.62,-36.82
AP,Amapá,1.41,-51.77
AM,Amazonas,-3.07,-61.66
BA,Bahia,-12.96,-38.51
CE,Ceará,-3.71,-38.54
DF,Distrito Federal,-15.83,-47.86
ES,Espírito Santo,-19.19,-40.34
GO,Goiás,-16.64,-49.31
MA,Maranhão,-2.55,-44.3
MT,Mato Grosso,-12.64,-55.42
MS,Mato Grosso do Sul,-20.51,-54.54
MG,Minas Gerais,-18.10,-44.38
PA,Pará,-5.53,-52.29
PB,Paraíba,-7.06,-35.55
PR,Paraná,-24.89,-51.55
PE,Pernambuco,-8.28,-35.07
PI,Piauí,-8.28,-43.68
RJ,Rio de Janeiro,-22.84,-43.15
RN,Rio Grande do Norte,-5.22,-36.52
RS,Rio Grande do Sul,-30.01,-51.22
RO,Rondônia,-11.22,-62.8
RR,Roraima,1.89,-61.22
SC,Santa Catarina,-27.33,-49.44
SP,São Paulo,-23.55,-46.64
SE,Sergipe,-10.57,-37.45
TO,Tocantins,-10.25,-48.25
